Validator,PT_VERSION,2.6.0
Validator,ROCM_VERSION,6.4.1.0-83-69b59e5
Validator,HIPBLASLT_VERSION,1201-4d62e135
Validator,GCN_ARCH_NAME,gfx1100
Validator,ROCBLAS_VERSION,4.4.0-80e5394d
GemmAndBiasTunableOp_float_TN,tn_768_231_3072,Gemm_Hipblaslt_TN_5887,0.779154
GemmAndBiasTunableOp_float_TN,tn_768_77_3072,Gemm_Hipblaslt_TN_5887,0.28627
GemmAndBiasTunableOp_float_TN,tn_768_385_768,Default,0.289494
GemmAndBiasTunableOp_float_TN,tn_3072_77_768,Gemm_Hipblaslt_TN_5887,0.277716
GemmAndBiasTunableOp_float_TN,tn_1280_77_5120,Gemm_Hipblaslt_TN_5887,0.812491
GemmAndBiasTunableOp_float_TN,tn_768_77_768,Gemm_Hipblaslt_TN_5887,0.0783046
GemmAndBiasTunableOp_float_TN,tn_1280_231_1280,Gemm_Hipblaslt_TN_5887,0.511583
GemmAndBiasTunableOp_float_TN,tn_5120_154_1280,Gemm_Hipblaslt_TN_5887,1.45455
GemmAndBiasTunableOp_float_TN,tn_768_154_768,Gemm_Hipblaslt_TN_5887,0.141081
GemmAndBiasTunableOp_float_TN,tn_1280_385_5120,Gemm_Hipblaslt_TN_5887,3.59285
GemmAndBiasTunableOp_float_TN,tn_3072_154_768,Gemm_Hipblaslt_TN_5887,0.46919
GemmAndBiasTunableOp_float_TN,tn_768_308_768,Gemm_Hipblaslt_TN_5887,0.270033
GemmAndBiasTunableOp_float_TN,tn_5120_77_1280,Gemm_Hipblaslt_TN_5887,0.789604
GemmAndBiasTunableOp_float_TN,tn_3072_308_768,Default,0.882419
GemmAndBiasTunableOp_float_TN,tn_768_154_3072,Gemm_Hipblaslt_TN_5887,0.511349
GemmAndBiasTunableOp_float_TN,tn_1280_308_1280,Default,0.713509
GemmAndBiasTunableOp_float_TN,tn_5120_308_1280,Default,2.72242
GemmAndBiasTunableOp_float_TN,tn_1280_308_5120,Gemm_Hipblaslt_TN_5887,2.89799
GemmAndBiasTunableOp_float_TN,tn_768_308_3072,Gemm_Hipblaslt_TN_5887,1.01052
GemmAndBiasTunableOp_float_TN,tn_5120_385_1280,Default,3.36362
GemmAndBiasTunableOp_float_TN,tn_1280_385_1280,Default,0.907181
GemmAndBiasTunableOp_float_TN,tn_3072_385_768,Default,1.07876
